jz,jx,exact_energy,p,minimum,iterations,time,nfev,njev
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,1,-0.6322006149063845,20,27.678309202194214,683,683
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,2,-0.6711554702240115,20,68.12623190879822,2967,2967
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,3,-0.6752710792556523,20,146.38540744781494,7135,7135
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,4,-0.678611926523351,20,191.69673776626587,3734,3734
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,5,-0.6786117871984685,20,267.87126207351685,3722,3722
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,6,-0.6786119175431647,20,352.93498063087463,3400,3400
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,7,-0.6786120614608718,20,473.5711326599121,3448,3448
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,8,-0.6786120446598016,20,607.0482153892517,3107,3107
