jz,jx,exact_energy,p,minimum,angles,iterations,time,nfev,njev
0,[-1. -1. -1. -1. -1. -1. -1. -1.],[-1. -1. -1. -1. -1. -1. -1. -1.],-1.2814577238707534,1,-1.207106781186454,[0.19634951 0.39269926],7,19.43122172355652,11,11
0,[-1. -1. -1. -1. -1. -1. -1. -1.],[-1. -1. -1. -1. -1. -1. -1. -1.],-1.2814577238707534,2,-1.244016935856056,[1.77096472 1.92904564 2.21642578 1.87993482],42,34.20845103263855,49,49
0,[-1. -1. -1. -1. -1. -1. -1. -1.],[-1. -1. -1. -1. -1. -1. -1. -1.],-1.2814577238707534,3,-1.256834873030535,[-0.191204    1.16156442  1.17097707  0.87344233  0.97032357 -0.26818017],46,64.31214094161987,56,56
0,[-1. -1. -1. -1. -1. -1. -1. -1.],[-1. -1. -1. -1. -1. -1. -1. -1.],-1.2814577238707534,4,-1.281457723865927,"[ 1.04797392  1.20992049  0.81079666  1.03234214 -0.420264    0.42423562
  1.27936626 -0.57058388]",77,100.24652528762817,86,86
